SMILES,pCHEMBL,Molecular Weight,logP
CC(=O)Nc1cc(N2CCc3ccccc3C2)nc(-n2nc(C)cc2C)n1,8.38,362.44,2.80
Cc1ccc2c(O)cc(-c3ccc(N)cc3)nc2n1,6.96,251.29,2.89
S=c1sc2c(ncn3nc(-c4ccco4)nc23)n1-c1cccc(Cl)c1,10.42,385.86,4.77
CCn1c(=S)sc2c1ncn1nc(-c3ccco3)nc21,8.45,303.37,3.15
Cc1cc(C)nc(NC(=N)NCCc2c[nH]c3ccc(F)cc23)n1,6.7,326.38,2.89
COc1ccc(Cn2cnc3c(-c4ccco4)nc(N)nc32)cc1,8.11,321.34,2.73
CCCCC#Cc1nc(N)c2ncn([C@@H]3SC[C@@H](O)[C@H]3O)c2n1,7.92,333.42,0.92
Nc1nc(-c2ccco2)c2ncn(Cc3ccc4ccccc4c3)c2n1,8.85,341.37,3.87
Nc1cc(C(=O)N2CCCC2)cc2nc(-c3ccccn3)nn12,7.24,308.35,1.61
CC1CCCN(C(=O)c2cc(N)n3nc(-c4ccc(Br)o4)nc3c2)C1,8.52,404.27,3.21
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,5.09,381.69,5.80
Nc1nc(N2CCN(C(=O)C(c3ccccc3)c3ccccc3)CC2)nc2nc(-c3ccco3)nn12,7.03,480.53,2.84
CCCn1c(=O)c2[nH]c(-c3ccc(OC(CC)C(=O)Nc4ccc(Br)cc4)cc3)cc2n(CCC)c1=O,7.5,567.48,5.54
Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(Br)cc4)cc3)cc2n(C)c1=O,5.91,483.32,3.01
CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)cc2n(C)c1=O,7.18,450.47,3.26
Nc1nc2nn(CCc3cccc4ccccc34)cc2c2nc(-c3ccco3)nn12,6.05,395.43,3.71
O=C(Nc1cnc(-c2ccncc2)c(-c2cccnc2)n1)C1CC1,6.51,317.35,2.95
O=C(Nc1cnc(-c2ccncc2)c(-c2cnco2)n1)C1CC1,6.2,307.31,2.54
CCCn1cc2nc(N)n3nc(-c4ccco4)nc3c2c1,7.52,282.31,2.33
COc1cccc2c(C(=O)NCc3cccc(Cc4cccnc4)n3)nc(N)nc12,8.3,400.44,2.53
c1ccc(-c2cc(-c3ccccc3)c3nc(C4CCCCC4)[nH]c3n2)cc1,6.71,353.47,6.34
CCCC(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,6.91,317.39,4.55
OC[C@H]1OC(n2cnc3c(NC4CCCCC4OCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,4.59,455.52,1.38
OC1CS[C@@H](n2cnc3c(NCc4cccc(Br)c4)ncnc32)[C@H]1O,8.17,422.31,2.17
COc1cccc(CO[C@@H]2CCCC2Nc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1,5.56,471.51,1.00
CCCCc1nc2[nH]ncc2c2nc(-c3ccccc3Cl)nn12,6.89,326.79,3.66
OC[C@H]1OC(n2cnc3c(NC4CCC[C@@H]4OCc4cccc(F)c4)ncnc32)[C@H](O)[C@@H]1O,5.13,459.48,1.13
CCOC(=O)CCCOc1ccc(/C=C/c2nc3c(c(=O)n(CC)c(=O)n3CC)n2C)cc1OC,5.36,484.55,2.84
Nc1ncc(-c2ccncc2)c(-c2ccccc2)n1,6.97,248.29,2.79
N#Cc1ccccc1-c1cc(C(=O)NCc2ccccn2)nc(N)n1,6.59,330.35,1.92
Nc1nc2ccccc2n2c(=O)n(-c3ccccc3)nc12,7.31,277.29,1.62
CNc1ncnc2c1ncn2[C@@H]1S[C@H](C(=O)NC2CCC2)[C@@H](O)[C@H]1O,6.97,364.43,-0.13
Cn1c(=O)c2c(nc3n2CCCN3Cc2cc(Cl)cc(Cl)c2)n(C)c1=O,5.42,394.26,2.15
C#CCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OC)cc2)n(C)c1=O,6.29,393.45,0.99
O=C(Nc1cccc(Cl)c1)Nc1nc2nn(CCc3cc(Br)c(Br)cc3Br)cc2c2nc(-c3ccco3)nn12,5.44,735.62,7.56
CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,8.0,347.38,-0.44
Nc1nc(NCCCN2CCN(c3ccccc3)CC2)nc2nc(-c3ccco3)nn12,7.46,419.49,1.99
O=C(N/N=N/c1nc(NCC(c2ccccc2)c2ccccc2)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1)Nc1ccccc1,6.01,609.65,3.50
Oc1ccccc1-c1n[nH]c(-c2ccccc2)n1,6.16,237.26,2.84
O=c1c(-c2ccco2)nnc2n(Cc3ccccc3)c3ccccc3n12,5.91,342.36,3.35
CC(C)(C)OC(=O)C1CCCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)OCc1ccccc1,8.19,582.70,2.05
Nc1nc(C(=O)NCc2cccc3cccnc23)c2cc(Cl)cc(Cl)c2n1,8.18,398.25,4.00
Nc1nc(C(=O)NCc2cccc3c(C(=O)N4CCN(c5ccccc5)CC4)ccnc23)c2cccc(F)c2n1,5.81,535.58,3.79
Nc1nc2c([N+](=O)[O-])cccc2n2c(=O)n(-c3ccc(O)cc3)nc12,5.8,338.28,1.23
CCn1nnc([C@H]2O[C@@H](n3cnc4c(NCc5ccco5)nc(Cl)nc43)[C@H](O)[C@@H]2O)n1,7.22,447.84,0.68
CCn1nnc([C@H]2O[C@@H](n3cnc4c(NCc5cccs5)nc(Cl)nc43)[C@H](O)[C@@H]2O)n1,7.42,463.91,1.15
CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(NC(C)Cc5ccc(C(F)(F)F)cc5)nc43)[C@H](O)[C@@H]2O)n1,7.71,534.50,1.47
COc1cccc2c(C(=O)NCc3cccc4cccnc34)nc(N)nc12,9.7,359.39,2.70
CC(C)n1cc(-c2nc(N)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)cn1,5.0,375.39,-0.54
CCOc1ccnc2c(CNC(=O)c3nc(N)nc4c(F)cccc34)cccc12,7.13,391.41,3.23
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,7.67,308.30,-1.84
CCCCn1c(=O)c2c(nc3n2CCCN3c2ccc(OCCN(CC)CC)cc2)n(CCCC)c1=O,6.0,510.68,4.22
CCC(CC)Nc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12,5.76,381.86,1.36
O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(N[C@H]3C[C@H]4CC[C@H]3C4)nc(Cl)nc21,5.61,375.86,1.99
Nc1nc(-c2ccco2)c2ncn(Cc3ccc(Cl)cc3)c2n1,7.67,325.76,3.37
c1ccc(Nc2nc3ncnc-3c(NC3CCCCCC3)[nH]2)cc1,5.38,322.42,4.18
Cc1nc(N)c2nc(-n3nccn3)n(C)c2n1,7.15,230.24,-0.17
CCn1cnc2c(N)nc(NCCc3ccccc3)nc21,6.82,282.35,2.08
CCCCc1nc2[nH]ncc2c2nc(-c3ccc(OC)cc3)nn12,5.58,322.37,3.02
O=C(O)[C@H]1CC[C@H](OC2CCN(c3ccc(-c4nc5cc(F)ccc5[nH]4)cn3)CC2)CC1,5.01,438.50,4.39
COc1ccc(-c2cnn(-c3nc(NCc4cccc(I)c4)c4ncn(C5O[C@H](CO)[C@@H](O)[C@H]5O)c4n3)c2)cc1,5.4,655.45,2.52
Cn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,6.42,374.36,2.92
COc1cccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)c1,6.8,404.39,2.92
COc1cccc2cc(C(=O)NCCCOCCCCOCCCNC(=O)c3cc4cccc(OC)c4oc3=N)c(=N)oc12,6.4,606.68,3.91
CCCCc1nc2[nH]cnc2c2nc(-c3ccccc3)nn12,7.15,292.35,3.01
Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,9.34,285.69,2.77
N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,5.48,229.63,-1.08
OCc1cnn(-c2nc(Nc3ncc4ccccc4n3)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1,6.45,491.47,-0.20
Oc1ccc(-c2cnc(N[C@H]3CC[C@H](O)CC3)nc2-c2ccccc2)cc1Cl,8.14,395.89,4.89
Nc1nc(-c2ncco2)nc2sc(CN3CCOCC3)cc12,6.44,317.37,1.76
CCCn1c(=O)c2[nH]c(-c3cnn(Cc4cccc(C(F)(F)F)c4)c3)nc2n(CCC)c1=O,6.4,460.46,3.64
